ПРИЕМ	ПРИНЦИП	СПОСОБЫ
ПРИЕМ 1	ПРИНЦИП ДРОБЛЕНИЯ	а) Разделить объект на независимые части.б) Выполнить объект разборным.в) Увеличить степень дробления объекта.
ПРИЕМ 2	ПРИНЦИП ВЫНЕСЕНИЯ	Отделить от объекта мешающую часть (мешающее свойство) или, наоборот, выделить единственно нужную часть (нужное свойство)
ПРИЕМ 3	ПРИНЦИП МЕСТНОГО КАЧЕСТВА	а) Перейти от одной структуры объекта (или внешней среды, внешнего воздействия) к неоднородной. ; б) Разные части объекта должны иметь (выполнять) различные функции. ;в) Каждая часть объекта должна находиться в условиях, наиболее благоприятных для ее работы.
ПРИЕМ 4	ПРИНЦИП АССИМЕТРИИ	а) Перейти от симметричной формы объекта к асимметричной. ; б) Если объект асимметричен, увеличить степень асимметрии.)
ПРИЕМ 5	ПРИНЦИП ОБЪЕДИНЕНИЯ	а) Соединить однородные или предназначенные для смежных операций объекты. ; б) Объединить во времени однородные или смежные операции.
ПРИЕМ 6	ПРИНЦИП УНИВЕРСАЛЬНОСТИ	Объект выполняет несколько разных функций, благодаря чему отпадает необходимость в других объектах.
ПРИЕМ 7	ПРИНЦИП МАТРЕШКИ	а) Один объект размещен внутри другого объекта, который, в свою очередь, находится внутри третьего и т. д.; б) Один объект проходит сквозь полость в другом объекте.
ПРИЕМ 8	ПРИНЦИП АНТИВЕСА	а) Компенсировать вес объекта соединением с другими объектами, обладающими подъемной силой. ;б) Компенсировать вес объекта взаимодействием со средой (за счет аэро-, гидродинамических и других сил).
ПРИЕМ 9	ПРИНЦИП ПРЕДВАРИТЕЛЬНОГО НАПРЯЖЕНИЯ	Заранее придать объекту напряжения, противоположные недопустимым или нежелательным рабочим напряжениям.
ПРИЕМ 10	ПРИНЦИП ПРЕДВАРИТЕЛЬНОГО ИСПОЛНЕНИЯ	а) Заранее выполнить требуемое изменение объекта (полностью или хотя бы частично). ;б) Заранее расставить объекты так, чтобы они могли вступить в действие с наиболее удобного
ПРИЕМ 11	ПРИНЦИП ЗАРАНЕЕ ПОДЛОЖЕННОЙ ПОДУШКИ	Компенсировать относительно невысокую надежность объекта заранее подготовленными аварийными средствами.
ПРИЕМ 12	ПРИНЦИП ЭКВИПОТЕНЦИАЛЬНОСТИ	Изменить условия работы так, чтобы не приходилось поднимать или опускать объект.
ПРИЕМ 13	ПРИНЦИП НАОБОРОТ	а) Вместо действия, диктуемого условиями задачи, осуществить обратное действие (например, не охлаждать объект, а нагревать). ; б) Сделать движущуюся часть объекта (или внешней среды) неподвижной, а неподвижную - движущейся. ;в) Перевернуть объект вверх ногами.
ПРИЕМ 14	ПРИНЦИП СФЕРОИДАЛЬНОСТИ	а) Перейти от прямолинейных частей объекта к криволинейным, от плоских поверхностей к сферическим, от частей, выполненных в виде куба или параллелепипеда, к шаровым конструкциям. ;б) Использовать ролики, шарики, спирали. ;в) Перейти к вращательному движению, использовать центробежную силу.
ПРИЕМ 15	ПРИНЦИП ДИНАМИЧНОСТИ	а) Характеристики объекта (или внешней среды) должны меняться так, чтобы быть оптимальными на каждом этапе работы. ; б) Разделить объект на части, способные перемещаться относительно друг друга.
ПРИЕМ 16	ПРИНЦИП ЧАСТИЧНОГО ИЛИ ИЗБЫТОЧНОГО РЕШЕНИЯ	Если трудно получить 100% требуемого эффекта, надо получить чуть меньше или чуть больше. Задача при этом может существенно упроститься.
ПРИЕМ 17	ПРИНЦИП ПЕРЕХОДА В ДРУГОЕ ИЗМЕРЕНИЕ	а) Трудности, связанные с движением (или размещением) объекта по линии, устраняются, если объект приобретает возможность перемещаться в двух измерениях (то есть на плоскости). Соответственно, задачи, связанные с движением (или размещением) объектов в одной плоскости, устраняются при переходе к пространству трех измерений. ;б) Многоэтажная компоновка объектов вместо одноэтажной.; в) Наклонить объект или положить его набок. ; г) Использовать обратную сторону данной площади. ; д) Использовать оптические потоки, падающие на соседнюю площадь или на обратную сторону имеющейся площади.
ПРИЕМ 18	ИСПОЛЬЗОВАНИЕ МЕХАНИЧЕСКИХ КОЛЕБАНИЙ	а) Привести объект в колебательное движение. ; б) Если такое движение уже совершается, увеличить его частоту (вплоть до ультразвуковой). ; в) Использовать резонансную частоту. ;г) Применить вместо механических вибраторов пьезовибраторы. ;д) Использовать ультразвуковые колебания в сочетании с электромагнитными полями.
ПРИЕМ 19	ПРИНЦИП ПЕРИОДИЧЕСКОГО ДЕЙСТВИЯ	а) Перейти от непрерывного действия к периодическому (импульсному). ; б) Если действие уже осуществляется периодически - изменить периодичность. ;в) Использовать паузы между импульсами для другого действия.
ПРИЕМ 20	ПРИНЦИП НЕПРЕРЫВНОСТИ ПОЛЕЗНОГО ДЕЙСТВИЯ	а) Вести работу непрерывно (все части объекта должны все время работать с полной нагрузкой). ; б) Устранить холостые и промежуточные ходы.
ПРИЕМ 21	ПРИНЦИП ПРОСКОКА	Вести процесс или отдельные его этапы (например, вредные или опасные) на большой скорости.
ПРИЕМ 22	ПРИНЦИП ОБРАТИТЬ ВРЕД В ПОЛЬЗУ	а) Использовать вредные факторы (в частности, вредное воздействие среды) для получения положительного эффекта. ; б) Устранить вредный фактор за счет сложения с другим вредным фактором. ;в) Усилить вредный фактор до такой степени, чтобы он перестал быть вредным.
ПРИЕМ 23	ПРИНЦИП ОБРАТНОЙ СВЯЗИ	а) Ввести обратную связь. ;б) Если обратная часть есть - изменить ее.
ПРИЕM 24	ПРИНЦИП ПОСРЕДНИКА	а) Использовать промежуточный объект, переносящий или передающий действие. ; б) На время присоединить к объекту другой (легко удаляемый) объект.)
ПРИЕМ 25	ПРИНЦИП САМООБСЛУЖИВАНИЯ	а) Объект должен сам себя обслуживать, выполняя вспомогательные и ремонтные операции. ; б) Использовать отходы (энергии, вещества).
ПРИЕМ 26	ПРИНЦИП КОПИРОВАНИЯ	а) Вместо недоступного, сложного, дорогостоящего, неудобного или хрупкого объекта использовать его упрощенные и дешевые копии. ;б) Заменить объект или систему объектов их оптическими копиями (изображениями). Использовать при этом изменение масштаба (увеличить или уменьшить копии). ;в) Если используются видимые оптические копии, перейти к копиям инфракрасным или ультрафиолетовым.
ПРИЕМ 27	ДЕШЕВАЯ НЕДОЛГОВЕЧНОСТЬ ВЗАМЕН ДОРОГОЙ ДОЛГОВЕЧНОСТИ	Заменить дорогой объект набором дешевых объектов, поступившись при этом некоторыми качествами (например, долговечностью).
